СВОДКА
Дата отчета;13.02.2026 19:34
Всего групп;694
Вошли (joined);487
Вышли (left);0
Не вошли (failed);87
Ожидают (pending);120
Успешных отправок;448
Неудачных отправок;39
Вышли за сессию;0
Вступили за сессию;0
Отправили за сессию;15

УСПЕШНЫЕ ОТПРАВКИ
Сообщение;Группа;Ссылка на группу;Ссылка на сообщение;Дата отправки
Рассылка 6-7 февраля. ;Комсомольская ул, 17;https://t.me/+R42PP4Fg78ZlZjhi;https://t.me/c/1699537535/5193;2026-02-08T13:58:46.097864
Рассылка 6-7 февраля. ;Комсомольская ул, 4;https://t.me/+4k95HxyH7vQzODUy;https://t.me/c/1712453222/2382;2026-02-08T13:59:16.564531
Рассылка 6-7 февраля. ;Комсомольская ул, 7;https://t.me/+sYcIWI3OAoE0MTEy;https://t.me/c/1508180852/1113;2026-02-08T13:59:47.127928
Рассылка 6-7 февраля. ;Комсомольская ул, 9;https://t.me/+niKnFFRNIoNhNWMy;https://t.me/c/1440192628/2897;2026-02-08T14:00:17.704078
Рассылка 6-7 февраля. ;Красноармейская ул, 1;https://t.me/+bF3yDJW5sVo2NzBi;https://t.me/c/1643150540/2058;2026-02-08T14:00:48.859378
Рассылка 6-7 февраля. ;Московская ул, 1 А;https://t.me/+gU2Ftc3oSm5jOTBi;https://t.me/c/1773983036/3457;2026-02-08T14:01:19.344474
Рассылка 6-7 февраля. ;Московская ул, 11;https://t.me/+rrcxsmVam3k3ZDYy;https://t.me/c/1437793693/1950;2026-02-08T14:01:49.785102
Рассылка 6-7 февраля. ;Московская ул, 12;https://t.me/+AmKGfEjKTeliODcy;https://t.me/c/1681790175/3212;2026-02-08T14:02:20.264727
Рассылка 6-7 февраля. ;Московская ул, 13;https://t.me/+xRwcuswUaB9hYWY6;https://t.me/c/1729761407/14539;2026-02-08T14:02:50.927206
Рассылка 6-7 февраля. ;Московская ул, 14;https://t.me/+eFJ-oneq9SUxMTIy;https://t.me/c/1597400236/10536;2026-02-08T14:03:21.725659
Рассылка 6-7 февраля. ;Московская ул, 15;https://t.me/+Uu-qKhP1A-IwNDQy;https://t.me/c/1798591999/25512;2026-02-08T14:03:52.532861
Рассылка 6-7 февраля. ;Московская ул, 16;https://t.me/+B3Nasa_33p41ZTVi;https://t.me/c/1705883451/15764;2026-02-08T14:04:23.208371
Рассылка 6-7 февраля. ;Московская ул, 18;https://t.me/+QMDhVJrhSVI1NTJi;https://t.me/c/1756754302/2818;2026-02-08T14:04:53.782418
Рассылка 6-7 февраля. ;Красноармейская ул, 12;https://t.me/+9ve1U6NHD8RjM2My;https://t.me/c/1775043871/1653;2026-02-08T14:05:20.596345
Рассылка 6-7 февраля. ;Московская ул, 2;https://t.me/+Zq6OP5CCcY0zMjAy;https://t.me/c/1712998183/5154;2026-02-08T14:09:55.062865
Рассылка 6-7 февраля. ;Красноармейская ул, 13;https://t.me/+xGP6Cnf_oEQ2Y2Yy;https://t.me/c/1723822122/4596;2026-02-08T14:05:51.276060
Рассылка 6-7 февраля. ;Московская ул, 3;https://t.me/+__2_ppRqrqgwN2Vi;https://t.me/c/1525826651/2227;2026-02-08T14:10:25.678911
Рассылка 6-7 февраля. ;Красноармейская ул, 14;https://t.me/+9Hs0NrvifFwzNTg6;https://t.me/c/1544669886/3860;2026-02-08T14:06:22.003630
Рассылка 6-7 февраля. ;Московская ул, 3 А;https://t.me/+5_XmOuH-Cms0M2Qy;https://t.me/c/1713490457/2263;2026-02-08T14:10:56.116098
Рассылка 6-7 февраля. ;Красноармейская ул, 3;https://t.me/+5Q0cGj74ByRmOGEy;https://t.me/c/1589387344/1840;2026-02-08T14:06:52.438764
Рассылка 6-7 февраля. ;Московская ул, 4;https://t.me/+efy7xkJTaSc5YjFi;https://t.me/c/1748411164/13787;2026-02-08T14:11:26.774633
Рассылка 6-7 февраля. ;Красноармейская ул, 3 А;https://t.me/+evXg87vDs-5hMDRi;https://t.me/c/1751876635/2291;2026-02-08T14:07:22.874840
Рассылка 6-7 февраля. ;Московская ул, 7;https://t.me/+EqcIvdyImqAzOWEy;https://t.me/c/1693854993/3770;2026-02-08T14:11:57.196006
Рассылка 6-7 февраля. ;Красноармейская ул, 4;https://t.me/+WvYGDNZo2_gxNTFi;https://t.me/c/1605979497/2089;2026-02-08T14:07:53.280830
Рассылка 6-7 февраля. ;Московская ул, 8;https://t.me/+SWppqo7Fm1gwZmEy;https://t.me/c/1695176175/3396;2026-02-08T14:12:28.021343
Рассылка 6-7 февраля. ;Красноармейская ул, 5;https://t.me/+GiDIIWgHZ5tiYTUy;https://t.me/c/1748828376/2528;2026-02-08T14:08:23.731164
Рассылка 6-7 февраля. ;Московская ул, 9;https://t.me/+s5DTOSmUW8Y0ZmQy;https://t.me/c/1769250201/3166;2026-02-08T14:12:58.907397
Рассылка 6-7 февраля. ;Красноармейская ул, 6;https://t.me/+jG2WZ6jXtHk4ZDU6;https://t.me/c/1593465469/2151;2026-02-08T14:08:54.187003
Рассылка 6-7 февраля. ;Московская ул.,1;https://t.me/+9rxTW7MT41lhMThi;https://t.me/c/1498846410/16523;2026-02-08T14:13:29.739148
Рассылка 6-7 февраля. ;Красноармейская ул, 8;https://t.me/+Ve0NlyMzxQYwOWFi;https://t.me/c/1651144285/1217;2026-02-08T14:09:24.642674
Рассылка 6-7 февраля. ;Тест;https://t.me/+n6N7T62_mzI3NDI6;https://t.me/c/3722578272/164;2026-02-08T14:16:34.685456
Рассылка 6-7 февраля. ;Шоссейная ул, 1;https://t.me/+E9Tpqvsbpd82M2Qy;https://t.me/c/1512837794/7426;2026-02-08T14:17:05.533628
Рассылка 6-7 февраля. ;Шоссейная ул, 11;https://t.me/+lcgpZ6Grlig4MzFi;https://t.me/c/1709623251/9690;2026-02-08T14:18:06.790843
Рассылка 6-7 февраля. ;Шоссейная ул, 4;https://t.me/+tXKFPAO3b2I0ZjQy;https://t.me/c/1674303959/15727;2026-02-08T14:19:07.825424
Рассылка 6-7 февраля. ;Шоссейная ул, 5 1;https://t.me/+QAblA4UwUcA0NjRi;https://t.me/c/1884098688/5302;2026-02-08T14:19:38.413645
Рассылка 6-7 февраля. ;Шоссейная ул, 6;https://t.me/+WkAds1RadocwMDMy;https://t.me/c/1637427106/8623;2026-02-08T14:20:08.999610
Рассылка 6-7 февраля. ;Шоссейная ул, 7;https://t.me/+LSqeiWUpmwYyMzZi;https://t.me/c/1635474470/5344;2026-02-08T14:20:39.622984
Рассылка 6-7 февраля. ;Октябрьский пр-кт, 120 3;https://t.me/+3ci_273FNzlhODAy;https://t.me/c/1694273753/1560;2026-02-08T14:14:00.426582
Рассылка 6-7 февраля. ;Шоссейная ул, 8;https://t.me/+TWVMiIwlAqAyZDUy;https://t.me/c/1531929012/10202;2026-02-08T14:21:10.093717
Рассылка 6-7 февраля. ;Октябрьский пр-кт, 122;https://t.me/+zvUY6HhpagU2ODIy;https://t.me/c/1743613812/4546;2026-02-08T14:14:31.125147
Рассылка 6-7 февраля. ;Юбилейная дом 1;https://t.me/+XZQhO5lz_q5kODUy;https://t.me/c/1646370920/26770;2026-02-08T14:21:40.708200
Рассылка 6-7 февраля. ;Октябрьский пр-кт, 122 А;https://t.me/+7gcI5e7QqyxkNjRi;https://t.me/c/1894408795/3277;2026-02-08T14:15:01.921607
Рассылка 6-7 февраля. ;Юбилейная ул, 10;https://t.me/+MvMp3mSkYstkNmFi;https://t.me/c/1607427432/6184;2026-02-08T14:22:11.129514
Рассылка 6-7 февраля. ;Октябрьский пр-кт, 124;https://t.me/+MKjksJJojN9kNjYy;https://t.me/c/1630944948/3787;2026-02-08T14:15:32.983863
Рассылка 6-7 февраля. ;Юбилейная ул, 11;https://t.me/+Sc4WOZJFMg4zOTgy;https://t.me/c/1579623151/2109;2026-02-08T14:22:41.688589
Рассылка 6-7 февраля. ;Октябрьский пр-кт, 126;https://t.me/+lp0DB-TtNns5MTMy;https://t.me/c/1687710463/2498;2026-02-08T14:16:03.969328
Рассылка 6-7 февраля. ;Юбилейная ул, 12;https://t.me/+HHgFgRp1cq1kN2M6;https://t.me/c/1651697321/11796;2026-02-08T14:23:12.182247
Рассылка 6-7 февраля. ;Юбилейная ул, 13 А;https://t.me/+MKxgu_IUbLwwN2Zi;https://t.me/c/1701743855/2059;2026-02-08T14:23:42.608510
Рассылка 6-7 февраля. ;Юбилейная ул, 13 Б;https://t.me/+-6LcTD9nZYM2NWQy;https://t.me/c/1623180608/1953;2026-02-08T14:24:13.211823
Рассылка 6-7 февраля. ;Юбилейная ул, 14;https://t.me/+r7TZ5yPWOaM1Yjcy;https://t.me/c/1595010280/1958;2026-02-08T14:24:43.667447
Рассылка 6-7 февраля. ;Юбилейная ул, 15;https://t.me/+EjjxWM0mc_Y1YTc6;https://t.me/c/1538198464/3289;2026-02-08T14:25:14.442340
Рассылка 6-7 февраля. ;Юбилейная ул, 16;https://t.me/+XHF6ywr6JgIxMjky;https://t.me/c/1540897819/2849;2026-02-08T14:25:45.022149
Рассылка 6-7 февраля. ;Юбилейная ул, 17;https://t.me/+SA4dO3ph_cJmODM6;https://t.me/c/1727497349/11701;2026-02-08T14:26:15.513881
Рассылка 6-7 февраля. ;Юбилейная ул, 17 А;https://t.me/+pAAafoiaM81lNzdi;https://t.me/c/1739626395/2201;2026-02-08T14:26:45.928913
Рассылка 6-7 февраля. ;Юбилейная ул, 17 Б;https://t.me/+7lDah2s9r5Q3YzUy;https://t.me/c/1628067257/1831;2026-02-08T14:27:16.337965
Рассылка 6-7 февраля. ;Юбилейная ул, 18;https://t.me/+0wADJBANku0wYjVi;https://t.me/c/1550374507/1896;2026-02-08T14:27:46.787453
Рассылка 6-7 февраля. ;Юбилейная ул, 19;https://t.me/+0FicKKugnJQ1N2My;https://t.me/c/1783947451/8457;2026-02-08T14:28:17.476649
Рассылка 6-7 февраля. ;Юбилейная ул, 2;https://t.me/+KdY6Mcn2pDQwMTZi;https://t.me/c/1619421516/6586;2026-02-08T14:28:47.990278
Рассылка 6-7 февраля. ;Юбилейная ул, 20;https://t.me/+DNsGM8_INjU2Nzg6;https://t.me/c/1225701375/4986;2026-02-08T14:29:18.451068
Рассылка 6-7 февраля. ;Юбилейная ул, 21;https://t.me/+r2VauHeXgDhjNDZi;https://t.me/c/1660629049/19250;2026-02-08T14:29:49.294249
Рассылка 6-7 февраля. ;Юбилейная ул, 23;https://t.me/+fWosV3_axV00OTcy;https://t.me/c/1311399415/9528;2026-02-08T14:30:19.826079
Рассылка 6-7 февраля. ;Юбилейная ул, 24;https://t.me/+E4EN_yH30hRkYzUy;https://t.me/c/1609579202/11978;2026-02-08T14:30:50.387162
Рассылка 6-7 февраля. ;Юбилейная ул, 25;https://t.me/+zVjica7j4Is0OWIy;https://t.me/c/1707699522/5516;2026-02-08T14:31:20.856743
Рассылка 6-7 февраля. ;Юбилейная ул, 3;https://t.me/+F5BYx7waiCRmNzZi;https://t.me/c/1444730505/8647;2026-02-08T14:31:51.366005
Рассылка 6-7 февраля. ;Юбилейная ул, 4;https://t.me/+tIJrto7_JXk2ODM6;https://t.me/c/1758089683/7220;2026-02-08T14:32:21.821616
Рассылка 6-7 февраля. ;Юбилейная ул, 5;https://t.me/+3RWGmW9Ulaw4YmIy;https://t.me/c/1742979788/3970;2026-02-08T14:32:52.576654
Рассылка 6-7 февраля. ;Юбилейная ул, 7 А;https://t.me/+QsRMmJxDZdw0N2Iy;https://t.me/c/1756078652/3771;2026-02-08T14:33:23.037838
Рассылка 6-7 февраля. ;Юбилейная ул, 7 Б;https://t.me/+0RKM6uFJE-hjMjIy;https://t.me/c/1630537415/2005;2026-02-08T14:33:53.437447
Рассылка 6-7 февраля. ;Юбилейная ул, 9;https://t.me/+VYfOPxTUen4zNjNi;https://t.me/c/1502556524/4031;2026-02-08T14:34:23.912629
Рассылка 6-7 февраля. ;1-й Панковский проезд, 1 1;https://t.me/+C7CK58RkGNcyNzEy;https://t.me/c/1767159520/2524;2026-02-11T14:58:36.376103
Рассылка 6-7 февраля. ;1-й Панковский проезд, 1 2;https://t.me/+z3rqC-UysLplZDEy;https://t.me/c/1536954188/21390;2026-02-11T14:59:08.312784
Рассылка 6-7 февраля. ;1-й Панковский проезд, 1 3;https://t.me/+ywwPs52WbuI5NTFi;https://t.me/c/1809698500/16566;2026-02-11T14:59:40.243953
Рассылка 6-7 февраля. ;1-й Панковский проезд, 1 4;https://t.me/+U-ypU9avpUpiZTky;https://t.me/c/1870699771/6162;2026-02-11T15:00:12.285320
Рассылка 6-7 февраля. ;1-й Панковский проезд, 11;https://t.me/+4s_Z_spTGbA3MTMy;https://t.me/c/1710532131/1045;2026-02-11T15:00:44.179020
Рассылка 6-7 февраля. ;1-й Панковский проезд, 13;https://t.me/+otAvQDZuIzs1ZGYy;https://t.me/c/1538091458/1532;2026-02-11T15:01:16.165330
Рассылка 6-7 февраля. ;1-й Панковский проезд, 15;https://t.me/+oJzoAUVy0HhlZGY6;https://t.me/c/1625424642/4285;2026-02-11T15:01:48.305942
Рассылка 6-7 февраля. ;1-й Панковский проезд, 17;https://t.me/+iY7ain5Wk582NGQy;https://t.me/c/1371347084/4059;2026-02-11T15:02:20.462935
Рассылка 6-7 февраля. ;1-й Панковский проезд, 19;https://t.me/+iwLbITZey4o5NGMy;https://t.me/c/1785298280/5304;2026-02-11T15:02:52.366893
Рассылка 6-7 февраля. ;1-й Панковский проезд, 21;https://t.me/+9qlZysGgkfQxZGMy;https://t.me/c/1458866207/3671;2026-02-11T15:03:24.329865
Рассылка 6-7 февраля. ;1-й Панковский проезд, 25;https://t.me/+iTCrVIOikoNkYjIy;https://t.me/c/1702146725/5211;2026-02-11T15:03:56.492159
Рассылка 6-7 февраля. ;1-й Панковский проезд, 27;https://t.me/+jEC9GIP9lEFjMDE6;https://t.me/c/1693255089/2684;2026-02-11T15:04:28.614546
Рассылка 6-7 февраля. ;1-й Панковский проезд, 29;https://t.me/+SE-Yd987wIxmYTk6;https://t.me/c/1591838655/4762;2026-02-11T15:05:00.624715
Рассылка 6-7 февраля. ;1-й Панковский проезд, 6;https://t.me/+uzXxSIlnB81jNGYy;https://t.me/c/1546733398/4487;2026-02-11T15:05:32.566818
Рассылка 6-7 февраля. ;1-й Панковский проезд, 7;https://t.me/+X0G_mUzqJzBmYjdi;https://t.me/c/1894663622/3436;2026-02-11T15:06:04.739696
Рассылка 6-7 февраля. ;1-й Панковский проезд, 9;https://t.me/+uqnEKJQisCZmNjRi;https://t.me/c/1638121061/2386;2026-02-11T15:06:36.883138
Рассылка 6-7 февраля. ;1-й Панковский проезд, 9 А;https://t.me/+cFc2ekiV0EJkZTIy;https://t.me/c/1640525006/3617;2026-02-11T15:07:08.861099
Рассылка 6-7 февраля. ;28 - 8 Марта;https://t.me/+RS-Q49qhZR02ZjAy;https://t.me/c/1626726463/15;2026-02-11T15:07:40.933342
Рассылка 6-7 февраля. ;Железнодорожная ул, 1-29;https://t.me/+OP3ULXmErx02YzM6;https://t.me/c/1201249895/2948;2026-02-11T15:09:17.220191
Рассылка 6-7 февраля. ;Космонавтов ул, 10;https://t.me/+BPVkb9aclXQ5ZGVi;https://t.me/c/759014359/443;2026-02-11T15:10:53.902335
Рассылка 6-7 февраля. ;Космонавтов ул, 11;https://t.me/+D0G2xGeHkC5mZDhi;https://t.me/c/1542966759/4266;2026-02-11T15:11:26.005627
Рассылка 6-7 февраля. ;Космонавтов ул, 12;https://t.me/+yG52BU7dal02ZDJi;https://t.me/c/1611969861/3276;2026-02-11T15:11:57.962473
Рассылка 6-7 февраля. ;Космонавтов ул, 13;https://t.me/+6K5W1oagkhNmMGJi;https://t.me/c/1686325996/2779;2026-02-11T15:12:30.245081
Рассылка 6-7 февраля. ;Космонавтов ул, 19;https://t.me/+fB3pYvpDTRdlOTk6;https://t.me/c/1761897416/6932;2026-02-11T15:13:02.364560
Рассылка 6-7 февраля. ;Космонавтов ул, 21;https://t.me/+hGpdRRpyD2NlNTBi;https://t.me/c/1729382735/5891;2026-02-11T15:13:34.323782
Рассылка 6-7 февраля. ;Космонавтов ул, 22;https://t.me/+5P3x0f_ZNHs4NmY6;https://t.me/c/1715566533/3304;2026-02-11T15:14:06.291672
Рассылка 6-7 февраля. ;Космонавтов ул, 23;https://t.me/+B2qSJOnukwBjNGFi;https://t.me/c/1713793592/3127;2026-02-11T15:14:38.298541
Рассылка 6-7 февраля. ;Космонавтов ул, 24;https://t.me/+eRlmP5niX082Y2Fi;https://t.me/c/1601858549/6122;2026-02-11T15:15:10.251941
Рассылка 6-7 февраля. ;Космонавтов ул, 25;https://t.me/+xdNUk73RRvQzNGIy;https://t.me/c/1771323017/2913;2026-02-11T15:15:42.169990
Рассылка 6-7 февраля. ;Космонавтов ул, 26;https://t.me/+PsZxC9FId01mY2Ni;https://t.me/c/1505539024/5625;2026-02-11T15:16:14.143738
Рассылка 6-7 февраля. ;Космонавтов ул, 27;https://t.me/+TMQsOLxczzllM2Ey;https://t.me/c/1605925475/5611;2026-02-11T15:16:46.371696
Рассылка 6-7 февраля. ;Космонавтов ул, 28;https://t.me/+USTi7ad5QK0zMDEy;https://t.me/c/1773174707/2396;2026-02-11T15:17:18.424790
Рассылка 6-7 февраля. ;Космонавтов ул, 29;https://t.me/+KHL0McXEVIUzNmY6;https://t.me/c/1693562551/1924;2026-02-11T15:17:50.363425
Рассылка 6-7 февраля. ;Космонавтов ул, 32;https://t.me/+LowfuQAOo5g0NmI6;https://t.me/c/1542624800/4279;2026-02-11T15:18:22.307168
Рассылка 6-7 февраля. ;Космонавтов ул, 34;https://t.me/+crr5CYgumJ5mMGEy;https://t.me/c/1584408515/4696;2026-02-11T15:18:55.490749
Рассылка 6-7 февраля. ;Космонавтов ул, 34 А;https://t.me/+Gz8w80xSk4FmYTFi;https://t.me/c/1776308069/6089;2026-02-11T15:19:27.456970
Рассылка 6-7 февраля. ;Космонавтов ул, 36;https://t.me/+-os_-Txve_1kYjM6;https://t.me/c/1640967780/8513;2026-02-11T15:19:59.511966
Рассылка 6-7 февраля. ;Космонавтов ул, 38;https://t.me/+mIBXq5-yE240NmE6;https://t.me/c/1726452409/3906;2026-02-11T15:21:43.449623
Рассылка 6-7 февраля. ;Космонавтов ул, 40;https://t.me/+V3eRoE4rPdM4NTAy;https://t.me/c/1756688506/2537;2026-02-11T15:22:15.875794
Рассылка 6-7 февраля. ;Космонавтов ул, 42;https://t.me/+zE6JS6pz2bExNmFi;https://t.me/c/1605023973/4588;2026-02-11T15:22:47.839114
