СВОДКА ПО РАССЫЛКЕ
Дата отчета;13.02.2026 20:29 МСК

Показатель;Значение
Всего групп в базе;694
Успешно отправлено;458
Не удалось отправить (нет прав);41
Вышли из групп;301
Сейчас в группах (joined);198
Не вошли - истекшие ссылки;59
Не вошли - FloodWait (лимит Telegram);57
Не вошли - другие ошибки;8
В очереди (pending);71


УСПЕШНЫЕ ОТПРАВКИ
N;Группа;Город;Адрес;Ссылка на группу;Ссылка на сообщение;Дата и время отправки
35;Кирова ул, 26;;Люберцы г, Кирова ул, 26;https://t.me/+wUebs4rKkQtiZjYy;https://t.me/c/1797057963/1787;08.02.2026 13:48
36;Кирова ул, 37;;Люберцы г, Кирова ул, 37;https://t.me/+pBXRvKO6vohiNzIy;https://t.me/c/1775402557/1213;08.02.2026 13:49
37;Кирова ул, 39;;Люберцы г, Кирова ул, 39;https://t.me/+uNd-s0j6FlY3OWI6;https://t.me/c/1267648216/3332;08.02.2026 13:49
38;Кирова ул, 39 А;;Люберцы г, Кирова ул, 39 А;https://t.me/+0IcTL1g9kzk3MTgy;https://t.me/c/1607617032/3634;08.02.2026 13:50
39;Кирова ул, 41;;Люберцы г, Кирова ул, 41;https://t.me/+34enGuqricYzOWNi;https://t.me/c/1576239437/2008;08.02.2026 13:50
40;Кирова ул, 43 2;;Люберцы г, Кирова ул, 43 2;https://t.me/+L165ZIGIzANmZDA6;https://t.me/c/1459842065/1056;08.02.2026 13:51
41;Кирова ул, 45;;Люберцы г, Кирова ул, 45;https://t.me/+gnyziJaJMbw3NjUy;https://t.me/c/1732620788/1649;08.02.2026 13:51
42;Кирова ул, 45 2;;Люберцы г, Кирова ул, 45 2;https://t.me/+6rnqlCxQ9xo0ZTcy;https://t.me/c/1608782299/2779;08.02.2026 13:52
43;Кирова ул, 49;;Люберцы г, Кирова ул, 49;https://t.me/+Tif5raTVSMtkNWRi;https://t.me/c/1614115026/2496;08.02.2026 13:52
44;Кирова ул, 51;;Люберцы г, Кирова ул, 51;https://t.me/+AgOvG123kl8yNGQy;https://t.me/c/1777637939/2088;08.02.2026 13:53
45;Кирова ул, 53;;Люберцы г, Кирова ул, 53;https://t.me/+Bnj1eRRYDb44NGEy;https://t.me/c/1187550764/2476;08.02.2026 13:53
46;Кирова ул, 55;;Люберцы г, Кирова ул, 55;https://t.me/+3Q8T3bNr6IVlNGFi;https://t.me/c/1545425762/3496;08.02.2026 13:54
47;Кирова ул, 57;;Люберцы г, Кирова ул, 57;https://t.me/+I-cIUWaleHNiMGIy;https://t.me/c/1645862336/2064;08.02.2026 13:54
48;Кирова ул, 59;;Люберцы г, Кирова ул, 59;https://t.me/+URzW6L5vCDE2ZWM6;https://t.me/c/1561109840/1803;08.02.2026 13:55
49;Кирова ул, 6;;Люберцы г, Кирова ул, 6;https://t.me/+tzqF6OJ0xLM1ZWVi;https://t.me/c/1743340808/1125;08.02.2026 13:55
50;Кирова ул, 61/7 (Красноармейская ул, 7/61 );;Люберцы г, Кирова ул, 61/7 (Красноармейская ул, 7/61);https://t.me/+Y9vtDLIdsm81Y2Uy;https://t.me/c/1592301273/4471;08.02.2026 13:56
51;Кирова ул, 63;;Люберцы г, Кирова ул, 63;https://t.me/+gDtjwPtqZs02MzNi;https://t.me/c/1673020391/4636;08.02.2026 13:56
52;Кирова ул, 63 А;;Люберцы г, Кирова ул, 63 А;https://t.me/+l7wcRdoqHL01ZDFi;https://t.me/c/1789009276/1336;08.02.2026 13:57
53;Кирова ул, 8;;Люберцы г, Кирова ул, 8;https://t.me/+yRhjorSG43U2Y2My;https://t.me/c/1724236096/1308;08.02.2026 13:57
54;Комсомольская ул, 15;;Люберцы г, Комсомольская ул, 15;https://t.me/+ZV1326-NaaMwODYy;https://t.me/c/1780055692/11532;08.02.2026 13:58
55;Комсомольская ул, 17;;Люберцы г, Комсомольская ул, 17;https://t.me/+R42PP4Fg78ZlZjhi;https://t.me/c/1699537535/5193;08.02.2026 13:58
56;Комсомольская ул, 4;;Люберцы г, Комсомольская ул, 4;https://t.me/+4k95HxyH7vQzODUy;https://t.me/c/1712453222/2382;08.02.2026 13:59
57;Комсомольская ул, 7;;Люберцы г, Комсомольская ул, 7;https://t.me/+sYcIWI3OAoE0MTEy;https://t.me/c/1508180852/1113;08.02.2026 13:59
58;Комсомольская ул, 9;;Люберцы г, Комсомольская ул, 9;https://t.me/+niKnFFRNIoNhNWMy;https://t.me/c/1440192628/2897;08.02.2026 14:00
59;Красноармейская ул, 1;;Люберцы г, Красноармейская ул, 1;https://t.me/+bF3yDJW5sVo2NzBi;https://t.me/c/1643150540/2058;08.02.2026 14:00
60;Московская ул, 1 А;;Люберцы г, Московская ул, 1 А;https://t.me/+gU2Ftc3oSm5jOTBi;https://t.me/c/1773983036/3457;08.02.2026 14:01
61;Московская ул, 11;;Люберцы г, Московская ул, 11;https://t.me/+rrcxsmVam3k3ZDYy;https://t.me/c/1437793693/1950;08.02.2026 14:01
62;Московская ул, 12;;Люберцы г, Московская ул, 12;https://t.me/+AmKGfEjKTeliODcy;https://t.me/c/1681790175/3212;08.02.2026 14:02
63;Московская ул, 13;;Люберцы г, Московская ул, 13;https://t.me/+xRwcuswUaB9hYWY6;https://t.me/c/1729761407/14539;08.02.2026 14:02
64;Московская ул, 14;;Люберцы г, Московская ул, 14;https://t.me/+eFJ-oneq9SUxMTIy;https://t.me/c/1597400236/10536;08.02.2026 14:03
65;Московская ул, 15;;Люберцы г, Московская ул, 15;https://t.me/+Uu-qKhP1A-IwNDQy;https://t.me/c/1798591999/25512;08.02.2026 14:03
66;Московская ул, 16;;Люберцы г, Московская ул, 16;https://t.me/+B3Nasa_33p41ZTVi;https://t.me/c/1705883451/15764;08.02.2026 14:04
67;Московская ул, 18;;Люберцы г, Московская ул, 18;https://t.me/+QMDhVJrhSVI1NTJi;https://t.me/c/1756754302/2818;08.02.2026 14:04
68;Красноармейская ул, 12;;Люберцы г, Красноармейская ул, 12;https://t.me/+9ve1U6NHD8RjM2My;https://t.me/c/1775043871/1653;08.02.2026 14:05
69;Московская ул, 2;;Люберцы г, Московская ул, 2;https://t.me/+Zq6OP5CCcY0zMjAy;https://t.me/c/1712998183/5154;08.02.2026 14:09
70;Красноармейская ул, 13;;Люберцы г, Красноармейская ул, 13;https://t.me/+xGP6Cnf_oEQ2Y2Yy;https://t.me/c/1723822122/4596;08.02.2026 14:05
71;Московская ул, 3;;Люберцы г, Московская ул, 3;https://t.me/+__2_ppRqrqgwN2Vi;https://t.me/c/1525826651/2227;08.02.2026 14:10
72;Красноармейская ул, 14;;Люберцы г, Красноармейская ул, 14;https://t.me/+9Hs0NrvifFwzNTg6;https://t.me/c/1544669886/3860;08.02.2026 14:06
73;Московская ул, 3 А;;Люберцы г, Московская ул, 3 А;https://t.me/+5_XmOuH-Cms0M2Qy;https://t.me/c/1713490457/2263;08.02.2026 14:10
74;Красноармейская ул, 3;;Люберцы г, Красноармейская ул, 3;https://t.me/+5Q0cGj74ByRmOGEy;https://t.me/c/1589387344/1840;08.02.2026 14:06
75;Московская ул, 4;;Люберцы г, Московская ул, 4;https://t.me/+efy7xkJTaSc5YjFi;https://t.me/c/1748411164/13787;08.02.2026 14:11
76;Красноармейская ул, 3 А;;Люберцы г, Красноармейская ул, 3 А;https://t.me/+evXg87vDs-5hMDRi;https://t.me/c/1751876635/2291;08.02.2026 14:07
77;Московская ул, 7;;Люберцы г, Московская ул, 7;https://t.me/+EqcIvdyImqAzOWEy;https://t.me/c/1693854993/3770;08.02.2026 14:11
78;Красноармейская ул, 4;;Люберцы г, Красноармейская ул, 4;https://t.me/+WvYGDNZo2_gxNTFi;https://t.me/c/1605979497/2089;08.02.2026 14:07
79;Московская ул, 8;;Люберцы г, Московская ул, 8;https://t.me/+SWppqo7Fm1gwZmEy;https://t.me/c/1695176175/3396;08.02.2026 14:12
80;Красноармейская ул, 5;;Люберцы г, Красноармейская ул, 5;https://t.me/+GiDIIWgHZ5tiYTUy;https://t.me/c/1748828376/2528;08.02.2026 14:08
81;Московская ул, 9;;Люберцы г, Московская ул, 9;https://t.me/+s5DTOSmUW8Y0ZmQy;https://t.me/c/1769250201/3166;08.02.2026 14:12
82;Красноармейская ул, 6;;Люберцы г, Красноармейская ул, 6;https://t.me/+jG2WZ6jXtHk4ZDU6;https://t.me/c/1593465469/2151;08.02.2026 14:08
83;Московская ул.,1;;Люберцы г, Московская ул, 1;https://t.me/+9rxTW7MT41lhMThi;https://t.me/c/1498846410/16523;08.02.2026 14:13
84;Красноармейская ул, 8;;Люберцы г, Красноармейская ул, 8;https://t.me/+Ve0NlyMzxQYwOWFi;https://t.me/c/1651144285/1217;08.02.2026 14:09
85;Тест;;;https://t.me/+n6N7T62_mzI3NDI6;https://t.me/c/3722578272/164;08.02.2026 14:16
86;Шоссейная ул, 1;;Люберцы г, Шоссейная ул, 1;https://t.me/+E9Tpqvsbpd82M2Qy;https://t.me/c/1512837794/7426;08.02.2026 14:17
87;Шоссейная ул, 11;;Люберцы г, Шоссейная ул, 11;https://t.me/+lcgpZ6Grlig4MzFi;https://t.me/c/1709623251/9690;08.02.2026 14:18
88;Шоссейная ул, 4;;Люберцы г, Шоссейная ул, 4;https://t.me/+tXKFPAO3b2I0ZjQy;https://t.me/c/1674303959/15727;08.02.2026 14:19
89;Шоссейная ул, 5 1;;Люберцы г, Шоссейная ул, 5 1;https://t.me/+QAblA4UwUcA0NjRi;https://t.me/c/1884098688/5302;08.02.2026 14:19
90;Шоссейная ул, 6;;Люберцы г, Шоссейная ул, 6;https://t.me/+WkAds1RadocwMDMy;https://t.me/c/1637427106/8623;08.02.2026 14:20
91;Шоссейная ул, 7;;Люберцы г, Шоссейная ул, 7;https://t.me/+LSqeiWUpmwYyMzZi;https://t.me/c/1635474470/5344;08.02.2026 14:20
92;Октябрьский пр-кт, 120 3;;Люберцы г, Октябрьский пр-кт, 120 3;https://t.me/+3ci_273FNzlhODAy;https://t.me/c/1694273753/1560;08.02.2026 14:14
93;Шоссейная ул, 8;;Люберцы г, Шоссейная ул, 8;https://t.me/+TWVMiIwlAqAyZDUy;https://t.me/c/1531929012/10202;08.02.2026 14:21
94;Октябрьский пр-кт, 122;;Люберцы г, Октябрьский пр-кт, 122;https://t.me/+zvUY6HhpagU2ODIy;https://t.me/c/1743613812/4546;08.02.2026 14:14
95;Юбилейная дом 1;;Люберцы г, Юбилейная ул, 1;https://t.me/+XZQhO5lz_q5kODUy;https://t.me/c/1646370920/26770;08.02.2026 14:21
96;Октябрьский пр-кт, 122 А;;Люберцы г, Октябрьский пр-кт, 122 А;https://t.me/+7gcI5e7QqyxkNjRi;https://t.me/c/1894408795/3277;08.02.2026 14:15
97;Юбилейная ул, 10;;Люберцы г, Юбилейная ул, 10;https://t.me/+MvMp3mSkYstkNmFi;https://t.me/c/1607427432/6184;08.02.2026 14:22
98;Октябрьский пр-кт, 124;;Люберцы г, Октябрьский пр-кт, 124;https://t.me/+MKjksJJojN9kNjYy;https://t.me/c/1630944948/3787;08.02.2026 14:15
99;Юбилейная ул, 11;;Люберцы г, Юбилейная ул, 11;https://t.me/+Sc4WOZJFMg4zOTgy;https://t.me/c/1579623151/2109;08.02.2026 14:22
100;Октябрьский пр-кт, 126;;Люберцы г, Октябрьский пр-кт, 126;https://t.me/+lp0DB-TtNns5MTMy;https://t.me/c/1687710463/2498;08.02.2026 14:16
101;Юбилейная ул, 12;;Люберцы г, Юбилейная ул, 12;https://t.me/+HHgFgRp1cq1kN2M6;https://t.me/c/1651697321/11796;08.02.2026 14:23
102;Юбилейная ул, 13 А;;Люберцы г, Юбилейная ул, 13 А;https://t.me/+MKxgu_IUbLwwN2Zi;https://t.me/c/1701743855/2059;08.02.2026 14:23
103;Юбилейная ул, 13 Б;;Люберцы г, Юбилейная ул, 13 Б;https://t.me/+-6LcTD9nZYM2NWQy;https://t.me/c/1623180608/1953;08.02.2026 14:24
104;Юбилейная ул, 14;;Люберцы г, Юбилейная ул, 14;https://t.me/+r7TZ5yPWOaM1Yjcy;https://t.me/c/1595010280/1958;08.02.2026 14:24
105;Юбилейная ул, 15;;Люберцы г, Юбилейная ул, 15;https://t.me/+EjjxWM0mc_Y1YTc6;https://t.me/c/1538198464/3289;08.02.2026 14:25
106;Юбилейная ул, 16;;Люберцы г, Юбилейная ул, 16;https://t.me/+XHF6ywr6JgIxMjky;https://t.me/c/1540897819/2849;08.02.2026 14:25
107;Юбилейная ул, 17;;Люберцы г, Юбилейная ул, 17;https://t.me/+SA4dO3ph_cJmODM6;https://t.me/c/1727497349/11701;08.02.2026 14:26
108;Юбилейная ул, 17 А;;Люберцы г, Юбилейная ул, 17 А;https://t.me/+pAAafoiaM81lNzdi;https://t.me/c/1739626395/2201;08.02.2026 14:26
109;Юбилейная ул, 17 Б;;Люберцы г, Юбилейная ул, 17 Б;https://t.me/+7lDah2s9r5Q3YzUy;https://t.me/c/1628067257/1831;08.02.2026 14:27
110;Юбилейная ул, 18;;Люберцы г, Юбилейная ул, 18;https://t.me/+0wADJBANku0wYjVi;https://t.me/c/1550374507/1896;08.02.2026 14:27
111;Юбилейная ул, 19;;Люберцы г, Юбилейная ул, 19;https://t.me/+0FicKKugnJQ1N2My;https://t.me/c/1783947451/8457;08.02.2026 14:28
112;Юбилейная ул, 2;;Люберцы г, Юбилейная ул, 2;https://t.me/+KdY6Mcn2pDQwMTZi;https://t.me/c/1619421516/6586;08.02.2026 14:28
113;Юбилейная ул, 20;;Люберцы г, Юбилейная ул, 20;https://t.me/+DNsGM8_INjU2Nzg6;https://t.me/c/1225701375/4986;08.02.2026 14:29
114;Юбилейная ул, 21;;Люберцы г, Юбилейная ул, 21;https://t.me/+r2VauHeXgDhjNDZi;https://t.me/c/1660629049/19250;08.02.2026 14:29
115;Юбилейная ул, 23;;Люберцы г, Юбилейная ул, 23;https://t.me/+fWosV3_axV00OTcy;https://t.me/c/1311399415/9528;08.02.2026 14:30
116;Юбилейная ул, 24;;Люберцы г, Юбилейная ул, 24;https://t.me/+E4EN_yH30hRkYzUy;https://t.me/c/1609579202/11978;08.02.2026 14:30
117;Юбилейная ул, 25;;Люберцы г, Юбилейная ул, 25;https://t.me/+zVjica7j4Is0OWIy;https://t.me/c/1707699522/5516;08.02.2026 14:31
118;Юбилейная ул, 3;;Люберцы г, Юбилейная ул, 3;https://t.me/+F5BYx7waiCRmNzZi;https://t.me/c/1444730505/8647;08.02.2026 14:31
119;Юбилейная ул, 4;;Люберцы г, Юбилейная ул, 4;https://t.me/+tIJrto7_JXk2ODM6;https://t.me/c/1758089683/7220;08.02.2026 14:32
120;Юбилейная ул, 5;;Люберцы г, Юбилейная ул, 5;https://t.me/+3RWGmW9Ulaw4YmIy;https://t.me/c/1742979788/3970;08.02.2026 14:32
121;Юбилейная ул, 7 А;;Люберцы г, Юбилейная ул, 7 А;https://t.me/+QsRMmJxDZdw0N2Iy;https://t.me/c/1756078652/3771;08.02.2026 14:33
122;Юбилейная ул, 7 Б;;Люберцы г, Юбилейная ул, 7 Б;https://t.me/+0RKM6uFJE-hjMjIy;https://t.me/c/1630537415/2005;08.02.2026 14:33
123;Юбилейная ул, 9;;Люберцы г, Юбилейная ул, 9;https://t.me/+VYfOPxTUen4zNjNi;https://t.me/c/1502556524/4031;08.02.2026 14:34
124;1-й Панковский проезд, 1 1;;Люберцы г, 1-й Панковский проезд, 1 1;https://t.me/+C7CK58RkGNcyNzEy;https://t.me/c/1767159520/2524;11.02.2026 14:58
125;1-й Панковский проезд, 1 2;;Люберцы г, 1-й Панковский проезд, 1 2;https://t.me/+z3rqC-UysLplZDEy;https://t.me/c/1536954188/21390;11.02.2026 14:59
126;1-й Панковский проезд, 1 3;;Люберцы г, 1-й Панковский проезд, 1 3;https://t.me/+ywwPs52WbuI5NTFi;https://t.me/c/1809698500/16566;11.02.2026 14:59
127;1-й Панковский проезд, 1 4;;Люберцы г, 1-й Панковский проезд, 1 4;https://t.me/+U-ypU9avpUpiZTky;https://t.me/c/1870699771/6162;11.02.2026 15:00
128;1-й Панковский проезд, 11;;Люберцы г, 1-й Панковский проезд, 11;https://t.me/+4s_Z_spTGbA3MTMy;https://t.me/c/1710532131/1045;11.02.2026 15:00
129;1-й Панковский проезд, 13;;Люберцы г, 1-й Панковский проезд, 13;https://t.me/+otAvQDZuIzs1ZGYy;https://t.me/c/1538091458/1532;11.02.2026 15:01
130;1-й Панковский проезд, 15;;Люберцы г, 1-й Панковский проезд, 15;https://t.me/+oJzoAUVy0HhlZGY6;https://t.me/c/1625424642/4285;11.02.2026 15:01
131;1-й Панковский проезд, 17;;Люберцы г, 1-й Панковский проезд, 17;https://t.me/+iY7ain5Wk582NGQy;https://t.me/c/1371347084/4059;11.02.2026 15:02
132;1-й Панковский проезд, 19;;Люберцы г, 1-й Панковский проезд, 19;https://t.me/+iwLbITZey4o5NGMy;https://t.me/c/1785298280/5304;11.02.2026 15:02
133;1-й Панковский проезд, 21;;Люберцы г, 1-й Панковский проезд, 21;https://t.me/+9qlZysGgkfQxZGMy;https://t.me/c/1458866207/3671;11.02.2026 15:03
134;1-й Панковский проезд, 25;;Люберцы г, 1-й Панковский проезд, 25;https://t.me/+iTCrVIOikoNkYjIy;https://t.me/c/1702146725/5211;11.02.2026 15:03
135;1-й Панковский проезд, 27;;Люберцы г, 1-й Панковский проезд, 27;https://t.me/+jEC9GIP9lEFjMDE6;https://t.me/c/1693255089/2684;11.02.2026 15:04
136;1-й Панковский проезд, 29;;Люберцы г, 1-й Панковский проезд, 29;https://t.me/+SE-Yd987wIxmYTk6;https://t.me/c/1591838655/4762;11.02.2026 15:05
137;1-й Панковский проезд, 6;;Люберцы г, 1-й Панковский проезд, 6;https://t.me/+uzXxSIlnB81jNGYy;https://t.me/c/1546733398/4487;11.02.2026 15:05
138;1-й Панковский проезд, 7;;Люберцы г, 1-й Панковский проезд, 7;https://t.me/+X0G_mUzqJzBmYjdi;https://t.me/c/1894663622/3436;11.02.2026 15:06
139;1-й Панковский проезд, 9;;Люберцы г, 1-й Панковский проезд, 9;https://t.me/+uqnEKJQisCZmNjRi;https://t.me/c/1638121061/2386;11.02.2026 15:06
140;1-й Панковский проезд, 9 А;;Люберцы г, 1-й Панковский проезд, 9 А;https://t.me/+cFc2ekiV0EJkZTIy;https://t.me/c/1640525006/3617;11.02.2026 15:07
141;28 - 8 Марта;;Люберцы г, 8 Марта ул, 28;https://t.me/+RS-Q49qhZR02ZjAy;https://t.me/c/1626726463/15;11.02.2026 15:07
142;Железнодорожная ул, 1-29;;Люберцы г, Железнодорожная ул, 1;https://t.me/+OP3ULXmErx02YzM6;https://t.me/c/1201249895/2948;11.02.2026 15:09
143;Космонавтов ул, 10;;Люберцы г, Космонавтов ул, 10;https://t.me/+BPVkb9aclXQ5ZGVi;https://t.me/c/759014359/443;11.02.2026 15:10
144;Космонавтов ул, 11;;Люберцы г, Космонавтов ул, 11;https://t.me/+D0G2xGeHkC5mZDhi;https://t.me/c/1542966759/4266;11.02.2026 15:11
145;Космонавтов ул, 12;;Люберцы г, Космонавтов ул, 12;https://t.me/+yG52BU7dal02ZDJi;https://t.me/c/1611969861/3276;11.02.2026 15:11
146;Космонавтов ул, 13;;Люберцы г, Космонавтов ул, 13;https://t.me/+6K5W1oagkhNmMGJi;https://t.me/c/1686325996/2779;11.02.2026 15:12
147;Космонавтов ул, 19;;Люберцы г, Космонавтов ул, 19;https://t.me/+fB3pYvpDTRdlOTk6;https://t.me/c/1761897416/6932;11.02.2026 15:13
148;Космонавтов ул, 21;;Люберцы г, Космонавтов ул, 21;https://t.me/+hGpdRRpyD2NlNTBi;https://t.me/c/1729382735/5891;11.02.2026 15:13
149;Космонавтов ул, 22;;Люберцы г, Космонавтов ул, 22;https://t.me/+5P3x0f_ZNHs4NmY6;https://t.me/c/1715566533/3304;11.02.2026 15:14
150;Космонавтов ул, 23;;Люберцы г, Космонавтов ул, 23;https://t.me/+B2qSJOnukwBjNGFi;https://t.me/c/1713793592/3127;11.02.2026 15:14
151;Космонавтов ул, 24;;Люберцы г, Космонавтов ул, 24;https://t.me/+eRlmP5niX082Y2Fi;https://t.me/c/1601858549/6122;11.02.2026 15:15
152;Космонавтов ул, 25;;Люберцы г, Космонавтов ул, 25;https://t.me/+xdNUk73RRvQzNGIy;https://t.me/c/1771323017/2913;11.02.2026 15:15
153;Космонавтов ул, 26;;Люберцы г, Космонавтов ул, 26;https://t.me/+PsZxC9FId01mY2Ni;https://t.me/c/1505539024/5625;11.02.2026 15:16
154;Космонавтов ул, 27;;Люберцы г, Космонавтов ул, 27;https://t.me/+TMQsOLxczzllM2Ey;https://t.me/c/1605925475/5611;11.02.2026 15:16
155;Космонавтов ул, 28;;Люберцы г, Космонавтов ул, 28;https://t.me/+USTi7ad5QK0zMDEy;https://t.me/c/1773174707/2396;11.02.2026 15:17
156;Космонавтов ул, 29;;Люберцы г, Космонавтов ул, 29;https://t.me/+KHL0McXEVIUzNmY6;https://t.me/c/1693562551/1924;11.02.2026 15:17
157;Космонавтов ул, 32;;Люберцы г, Космонавтов ул, 32;https://t.me/+LowfuQAOo5g0NmI6;https://t.me/c/1542624800/4279;11.02.2026 15:18
158;Космонавтов ул, 34;;Люберцы г, Космонавтов ул, 34;https://t.me/+crr5CYgumJ5mMGEy;https://t.me/c/1584408515/4696;11.02.2026 15:18
159;Космонавтов ул, 34 А;;Люберцы г, Космонавтов ул, 34 А;https://t.me/+Gz8w80xSk4FmYTFi;https://t.me/c/1776308069/6089;11.02.2026 15:19
160;Космонавтов ул, 36;;Люберцы г, Космонавтов ул, 36;https://t.me/+-os_-Txve_1kYjM6;https://t.me/c/1640967780/8513;11.02.2026 15:19
